*! 12C energy loss (dE/dX) in C
*! apply ZOOM for details
*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
310.000000	0.0228511 	310.000000	0.0251513 	310.000000	0.0250129 	310.000000	0.0248873 	310.000000	0.0249052 	310.000000	0.0251446 	310.000000	6.76549e-06	
320.000000	0.0224601 	320.000000	0.0247235 	320.000000	0.0245833 	320.000000	0.0244584 	320.000000	0.0244775 	320.000000	0.0247169 	320.000000	6.5698e-06	
330.000000	0.0220919 	330.000000	0.0243213 	330.000000	0.0241796 	330.000000	0.0240554 	330.000000	0.0240756 	330.000000	0.0243149 	330.000000	6.38549e-06	
340.000000	0.0217447 	340.000000	0.0239426 	340.000000	0.0237998 	340.000000	0.0236761 	340.000000	0.0236974 	340.000000	0.0239364 	340.000000	6.2116e-06	
350.000000	0.0214167 	350.000000	0.0235854 	350.000000	0.0234419 	350.000000	0.0233185 	350.000000	0.0233407 	350.000000	0.0235793 	350.000000	6.04726e-06	
360.000000	0.0211063 	360.000000	0.023248  	360.000000	0.023103  	360.000000	0.022981  	360.000000	0.0230041 	360.000000	0.0232421 	360.000000	5.89168e-06	
370.000000	0.0208123 	370.000000	0.0229288 	370.000000	0.0227788 	370.000000	0.022659  	370.000000	0.022683  	370.000000	0.0229231 	370.000000	5.74419e-06	
380.000000	0.0205334 	380.000000	0.0226265 	380.000000	0.0224728 	380.000000	0.0223541 	380.000000	0.0223788 	380.000000	0.0226209 	380.000000	5.60415e-06	
390.000000	0.0202684 	390.000000	0.0223397 	390.000000	0.0221835 	390.000000	0.022065  	390.000000	0.0220904 	390.000000	0.0223343 	390.000000	5.47101e-06	
400.000000	0.0200165 	400.000000	0.0220674 	400.000000	0.0219087 	400.000000	0.0217906 	400.000000	0.0218167 	400.000000	0.0220621 	400.000000	5.34427e-06	
410.000000	0.0197766 	410.000000	0.0218085 	410.000000	0.0216474 	410.000000	0.0215298 	410.000000	0.0215565 	410.000000	0.0218033 	410.000000	5.22347e-06	
420.000000	0.019548  	420.000000	0.0215621 	420.000000	0.0213988 	420.000000	0.0212817 	420.000000	0.021309  	420.000000	0.021557  	420.000000	5.1082e-06	
430.000000	0.0193299 	430.000000	0.0213273 	430.000000	0.0211622 	430.000000	0.0210454 	430.000000	0.0210733 	430.000000	0.0213223 	430.000000	4.99808e-06	
440.000000	0.0191217 	440.000000	0.0211034 	440.000000	0.0209367 	440.000000	0.0208201 	440.000000	0.0208485 	440.000000	0.0210985 	440.000000	4.89277e-06	
450.000000	0.0189226 	450.000000	0.0208896 	450.000000	0.0207214 	450.000000	0.0206052 	450.000000	0.020634  	450.000000	0.0208848 	450.000000	4.79196e-06	
460.000000	0.0187322 	460.000000	0.0206854 	460.000000	0.020515  	460.000000	0.0203999 	460.000000	0.0204292 	460.000000	0.0206807 	460.000000	4.69536e-06	
470.000000	0.0185499 	470.000000	0.0204901 	470.000000	0.0203173 	470.000000	0.0202037 	470.000000	0.0202334 	470.000000	0.0204855 	470.000000	4.60271e-06	
480.000000	0.0183753 	480.000000	0.0203032 	480.000000	0.0201285 	480.000000	0.0200159 	480.000000	0.020046  	480.000000	0.0202986 	480.000000	4.51378e-06	
490.000000	0.0182078 	490.000000	0.0201241 	490.000000	0.0199483 	490.000000	0.0198362 	490.000000	0.0198667 	490.000000	0.0201197 	490.000000	4.42833e-06	
500.000000	0.0180471 	500.000000	0.0199525 	500.000000	0.019776  	500.000000	0.0196639 	500.000000	0.0196948 	500.000000	0.0199481 	500.000000	4.34617e-06	
520.000000	0.0177446 	520.000000	0.0196299 	520.000000	0.0194518 	520.000000	0.0193403 	520.000000	0.0193718 	520.000000	0.0196257 	520.000000	4.19096e-06	
540.000000	0.017465  	540.000000	0.0193323 	540.000000	0.0191528 	540.000000	0.0190419 	540.000000	0.019074  	540.000000	0.0193282 	540.000000	4.04682e-06	
560.000000	0.017206  	560.000000	0.019057  	560.000000	0.0188765 	560.000000	0.0187661 	560.000000	0.0187988 	560.000000	0.0190531 	560.000000	3.91259e-06	
580.000000	0.0169656 	580.000000	0.0188019 	580.000000	0.0186202 	580.000000	0.0185106 	580.000000	0.0185438 	580.000000	0.0187982 	580.000000	3.78726e-06	
600.000000	0.016742  	600.000000	0.018565  	600.000000	0.0183817 	600.000000	0.0182734 	600.000000	0.018307  	600.000000	0.0185614 	600.000000	3.66998e-06	
620.000000	0.0165336 	620.000000	0.0183446 	620.000000	0.0181597 	620.000000	0.0180527 	620.000000	0.0180867 	620.000000	0.018341  	620.000000	3.55998e-06	
640.000000	0.0163391 	640.000000	0.0181391 	640.000000	0.0179534 	640.000000	0.017847  	640.000000	0.0178814 	640.000000	0.0181357 	640.000000	3.45659e-06	
