*Energy (MeV/u)1	0 - [He-base] F.Hubert et al. AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al.Pergamon Press.NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick. improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
280.000000	0.0175192 	280.000000	0.0179553 	280.000000	0.0178075 	280.000000	0.0177345 	280.000000	0.0178069 	280.000000	0.0179506 	280.000000	4.70759e-06	
290.000000	0.017176  	290.000000	0.0176023 	290.000000	0.0174542 	290.000000	0.0173826 	290.000000	0.0174543 	290.000000	0.0175977 	290.000000	4.55717e-06	
300.000000	0.0168548 	300.000000	0.0172724 	300.000000	0.0171247 	300.000000	0.0170539 	300.000000	0.017125  	300.000000	0.017268  	300.000000	4.41639e-06	
310.000000	0.0165534 	310.000000	0.0169635 	310.000000	0.0168172 	310.000000	0.0167462 	310.000000	0.0168168 	310.000000	0.0169592 	310.000000	4.28433e-06	
320.000000	0.0162702 	320.000000	0.0166737 	320.000000	0.0165286 	320.000000	0.0164577 	320.000000	0.0165277 	320.000000	0.0166695 	320.000000	4.16021e-06	
330.000000	0.0160035 	330.000000	0.0164013 	330.000000	0.0162564 	330.000000	0.0161867 	330.000000	0.0162561 	330.000000	0.0163972 	330.000000	4.04333e-06	
340.000000	0.015752  	340.000000	0.0161447 	340.000000	0.016     	340.000000	0.0159316 	340.000000	0.0160005 	340.000000	0.0161408 	340.000000	3.93305e-06	
350.000000	0.0155143 	350.000000	0.0159028 	350.000000	0.0157593 	350.000000	0.0156911 	350.000000	0.0157595 	350.000000	0.015899  	350.000000	3.82883e-06	
360.000000	0.0152895 	360.000000	0.0156743 	360.000000	0.0155324 	360.000000	0.015464  	360.000000	0.0155319 	360.000000	0.0156705 	360.000000	3.73017e-06	
370.000000	0.0150765 	370.000000	0.0154581 	370.000000	0.0153176 	370.000000	0.0152493 	370.000000	0.0153168 	370.000000	0.0154544 	370.000000	3.63665e-06	
380.000000	0.0148745 	380.000000	0.0152533 	380.000000	0.0151135 	380.000000	0.0150461 	380.000000	0.0151131 	380.000000	0.0152498 	380.000000	3.54785e-06	
390.000000	0.0146826 	390.000000	0.0150591 	390.000000	0.0149197 	390.000000	0.0148534 	390.000000	0.01492   	390.000000	0.0150556 	390.000000	3.46344e-06	
400.000000	0.0145    	400.000000	0.0148746 	400.000000	0.0147364 	400.000000	0.0146705 	400.000000	0.0147367 	400.000000	0.0148712 	400.000000	3.38308e-06	
410.000000	0.0143263 	410.000000	0.0146993 	410.000000	0.0145627 	410.000000	0.0144967 	410.000000	0.0145625 	410.000000	0.014696  	410.000000	3.3065e-06	
420.000000	0.0141607 	420.000000	0.0145324 	420.000000	0.0143974 	420.000000	0.0143314 	420.000000	0.0143968 	420.000000	0.0145291 	420.000000	3.23342e-06	
430.000000	0.0140027 	430.000000	0.0143734 	430.000000	0.0142397 	430.000000	0.0141739 	430.000000	0.014239  	430.000000	0.0143702 	430.000000	3.16361e-06	
440.000000	0.0138518 	440.000000	0.0142217 	440.000000	0.0140878 	440.000000	0.0140228 	440.000000	0.0140875 	440.000000	0.0142186 	440.000000	3.09685e-06	
450.000000	0.0137076 	450.000000	0.014077  	450.000000	0.0139421 	450.000000	0.0138779 	450.000000	0.0139423 	450.000000	0.0140739 	450.000000	3.03295e-06	
460.000000	0.0135697 	460.000000	0.0139387 	460.000000	0.0138035 	460.000000	0.0137396 	460.000000	0.0138037 	460.000000	0.0139357 	460.000000	2.97172e-06	
470.000000	0.0134377 	470.000000	0.0138064 	470.000000	0.0136713 	470.000000	0.0136074 	470.000000	0.0136712 	470.000000	0.0138035 	470.000000	2.913e-06 	
480.000000	0.0133111 	480.000000	0.0136799 	480.000000	0.0135446 	480.000000	0.0134809 	480.000000	0.0135444 	480.000000	0.013677  	480.000000	2.85663e-06	
490.000000	0.0131898 	490.000000	0.0135586 	490.000000	0.0134228 	490.000000	0.0133598 	490.000000	0.013423  	490.000000	0.0135558 	490.000000	2.80247e-06	
500.000000	0.0130734 	500.000000	0.0134425 	500.000000	0.013306  	500.000000	0.0132438 	500.000000	0.0133066 	500.000000	0.0134397 	500.000000	2.7504e-06	
520.000000	0.0128543 	520.000000	0.0132241 	520.000000	0.0130876 	520.000000	0.0130258 	520.000000	0.0130881 	520.000000	0.0132214 	520.000000	2.65204e-06	
540.000000	0.0126517 	540.000000	0.0130226 	540.000000	0.0128868 	540.000000	0.0128248 	540.000000	0.0128866 	540.000000	0.0130201 	540.000000	2.56069e-06	
560.000000	0.0124641 	560.000000	0.0128364 	560.000000	0.0127007 	560.000000	0.0126391 	560.000000	0.0127004 	560.000000	0.0128339 	560.000000	2.47563e-06	
580.000000	0.01229   	580.000000	0.0126638 	580.000000	0.0125275 	580.000000	0.012467  	580.000000	0.0125278 	580.000000	0.0126614 	580.000000	2.39622e-06	
