*Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - Range straggling - method [0] - LISE	5 - Range straggling - method [1] - Atima	6 - Lateral range - method [0] - LISE	7 - Lateral range - method [1] - Atima	8 - Lateral range - method [2] - PDG
13014.982013	1.24361e+07	1.40398e+07	1.74091e+07	1.74796e+07	34230.4   	67861     	13692.3   	14481.7   	21149.1   
13108.614970	1.24844e+07	1.41113e+07	1.75294e+07	1.76003e+07	34349.3   	68481.4   	13748.1   	14542     	21240.7   
13202.247927	1.25326e+07	1.41827e+07	1.76498e+07	1.77211e+07	34468.1   	69101.8   	13803.9   	14602.3   	21332.2   
13295.880884	1.25808e+07	1.42542e+07	1.77701e+07	1.78418e+07	34586.9   	69722.2   	13859.7   	14662.7   	21423.8   
13389.513841	1.26291e+07	1.43256e+07	1.78904e+07	1.79626e+07	34705.7   	70342.6   	13915.4   	14723     	21515.4   
13483.146798	1.26773e+07	1.43971e+07	1.80107e+07	1.80834e+07	34824.5   	70962.9   	13971.2   	14783.3   	21606.9   
13576.779755	1.27256e+07	1.44685e+07	1.8131e+07	1.82041e+07	34943.3   	71583.3   	14027     	14843.7   	21698.5   
13670.412712	1.27738e+07	1.45399e+07	1.82513e+07	1.83249e+07	35062.1   	72203.7   	14082.8   	14904     	21790.1   
13764.045669	1.28221e+07	1.46114e+07	1.83717e+07	1.84456e+07	35180.9   	72824.1   	14138.6   	14964.3   	21881.6   
13857.678625	1.28703e+07	1.46828e+07	1.8492e+07	1.85664e+07	35299.7   	73444.5   	14194.3   	15024.7   	21973.2   
13951.311582	1.29186e+07	1.47543e+07	1.86123e+07	1.86871e+07	35418.5   	74064.9   	14250.1   	15085     	22064.8   
14044.944539	1.29651e+07	1.48243e+07	1.87322e+07	1.88075e+07	35534.8   	74692.5   	14305.2   	15144.4   	22154.9   
14138.577496	1.30099e+07	1.48927e+07	1.88517e+07	1.89274e+07	35648.4   	75328.1   	14359.5   	15202.7   	22243.5   
14232.210453	1.30547e+07	1.49611e+07	1.89712e+07	1.90474e+07	35761.9   	75963.6   	14413.8   	15260.9   	22332     
14325.843410	1.30995e+07	1.50296e+07	1.90908e+07	1.91673e+07	35875.5   	76599.1   	14468.1   	15319.2   	22420.6   
14419.476367	1.31443e+07	1.5098e+07	1.92103e+07	1.92873e+07	35989     	77234.6   	14522.4   	15377.5   	22509.2   
14513.109324	1.31891e+07	1.51664e+07	1.93298e+07	1.94072e+07	36102.5   	77870.1   	14576.7   	15435.8   	22597.7   
14606.742281	1.32339e+07	1.52349e+07	1.94493e+07	1.95272e+07	36216.1   	78505.6   	14631     	15494.1   	22686.3   
14700.375238	1.32787e+07	1.53033e+07	1.95688e+07	1.96471e+07	36329.6   	79141.2   	14685.3   	15552.4   	22774.9   
14794.008195	1.33235e+07	1.53717e+07	1.96883e+07	1.9767e+07	36443.2   	79776.7   	14739.5   	15610.7   	22863.5   
14887.641152	1.33682e+07	1.54402e+07	1.98079e+07	1.9887e+07	36556.7   	80412.2   	14793.8   	15669     	22952     
14981.274109	1.3413e+07	1.55086e+07	1.99274e+07	2.00069e+07	36670.3   	81047.7   	14848.1   	15727.3   	23040.6   
15074.907066	1.34553e+07	1.55748e+07	2.00463e+07	2.01263e+07	36780.1   	81694.9   	14901.4   	15784.2   	23127.1   
15168.540022	1.3497e+07	1.56405e+07	2.01651e+07	2.02455e+07	36889     	82345     	14954.4   	15840.7   	23213     
15262.172979	1.35387e+07	1.57062e+07	2.02839e+07	2.03647e+07	36997.9   	82995.1   	15007.5   	15897.3   	23299     
15355.805936	1.35804e+07	1.57718e+07	2.04026e+07	2.04839e+07	37106.8   	83645.3   	15060.5   	15953.8   	23385     
15449.438893	1.36221e+07	1.58375e+07	2.05214e+07	2.0603e+07	37215.6   	84295.4   	15113.5   	16010.3   	23470.9   
15543.071850	1.36638e+07	1.59032e+07	2.06402e+07	2.07222e+07	37324.5   	84945.5   	15166.6   	16066.9   	23556.9   
15636.704807	1.37055e+07	1.59688e+07	2.0759e+07	2.08414e+07	37433.4   	85595.6   	15219.6   	16123.4   	23642.9   
15730.337764	1.37472e+07	1.60345e+07	2.08778e+07	2.09606e+07	37542.3   	86245.7   	15272.6   	16179.9   	23728.8   
15823.970721	1.37889e+07	1.61002e+07	2.09965e+07	2.10798e+07	37651.2   	86895.9   	15325.6   	16236.5   	23814.8   
15917.603678	1.38306e+07	1.61658e+07	2.11153e+07	2.1199e+07	37760.1   	87546     	15378.7   	16293     	23900.8   
16011.236635	1.38719e+07	1.62312e+07	2.1234e+07	2.13181e+07	37868.4   	88197.8   	15431.6   	16349.3   	23986.5   
16104.869592	1.39109e+07	1.62943e+07	2.13521e+07	2.14366e+07	37973.2   	88861.6   	15483.5   	16404.3   	24070.1   
16198.502549	1.39498e+07	1.63575e+07	2.14702e+07	2.15551e+07	38077.9   	89525.5   	15535.4   	16459.3   	24153.8   
16292.135506	1.39887e+07	1.64206e+07	2.15883e+07	2.16736e+07	38182.6   	90189.4   	15587.3   	16514.3   	24237.5   
16385.768463	1.40276e+07	1.64837e+07	2.17064e+07	2.17921e+07	38287.3   	90853.2   	15639.3   	16569.3   	24321.2   
16479.401419	1.40665e+07	1.65468e+07	2.18245e+07	2.19106e+07	38392     	91517.1   	15691.2   	16624.3   	24404.9   
16573.034376	1.41054e+07	1.66099e+07	2.19426e+07	2.20291e+07	38496.7   	92181     	15743.1   	16679.3   	24488.5   
16666.667333	1.41443e+07	1.66731e+07	2.20607e+07	2.21476e+07	38601.4   	92844.8   	15795     	16734.2   	24572.2   
16760.300290	1.41832e+07	1.67362e+07	2.21787e+07	2.22661e+07	38706.1   	93508.7   	15847     	16789.2   	24655.9   
16853.933247	1.42221e+07	1.67993e+07	2.22968e+07	2.23846e+07	38810.8   	94172.6   	15898.9   	16844.2   	24739.6   
16947.566204	1.4261e+07	1.68624e+07	2.24149e+07	2.25031e+07	38915.6   	94836.5   	15950.8   	16899.2   	24823.3   
17041.199161	1.42988e+07	1.69245e+07	2.25327e+07	2.26213e+07	39018.6   	95506     	16002.3   	16953.6   	24906.1   
17134.832118	1.43352e+07	1.69853e+07	2.26502e+07	2.27392e+07	39119.6   	96182.7   	16053.3   	17007.2   	24987.7   
17228.465075	1.43716e+07	1.70461e+07	2.27677e+07	2.2857e+07	39220.5   	96859.5   	16104.2   	17060.8   	25069.4   
17322.098032	1.4408e+07	1.71068e+07	2.28851e+07	2.29749e+07	39321.5   	97536.2   	16155.2   	17114.4   	25151.1   
17415.730989	1.44444e+07	1.71676e+07	2.30026e+07	2.30927e+07	39422.4   	98213     	16206.2   	17168.1   	25232.7   
17509.363946	1.44808e+07	1.72284e+07	2.312e+07 	2.32106e+07	39523.4   	98889.7   	16257.1   	17221.7   	25314.4   
17602.996903	1.45172e+07	1.72891e+07	2.32375e+07	2.33284e+07	39624.3   	99566.5   	16308.1   	17275.3   	25396.1   
17696.629860	1.45536e+07	1.73499e+07	2.33549e+07	2.34463e+07	39725.3   	100243    	16359     	17328.9   	25477.7   
17790.262816	1.459e+07 	1.74107e+07	2.34724e+07	2.35641e+07	39826.2   	100920    	16410     	17382.6   	25559.4   
