*Energy (MeV/u)1	0 - [He-base] F.Hubert et al. AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al.Pergamon Press.NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick. improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al
450.000000	0.0226937 	450.000000	0.0222815 	450.000000	0.0221167 	450.000000	0.0219823 	450.000000	0.0221154 	450.000000	0.0222764 	450.000000	5.13327e-06
460.000000	0.0224654 	460.000000	0.0220681 	460.000000	0.0219054 	460.000000	0.0217723 	460.000000	0.0219047 	460.000000	0.0220631 	460.000000	5.03013e-06
470.000000	0.0222467 	470.000000	0.0218641 	470.000000	0.021703  	470.000000	0.0215716 	470.000000	0.0217034 	470.000000	0.0218591 	470.000000	4.9312e-06
480.000000	0.0220373 	480.000000	0.0216688 	480.000000	0.0215098 	480.000000	0.0213796 	480.000000	0.0215109 	480.000000	0.0216639 	480.000000	4.83622e-06
490.000000	0.0218364 	490.000000	0.0214817 	490.000000	0.0213257 	490.000000	0.0211959 	490.000000	0.0213265 	490.000000	0.021477  	490.000000	4.74496e-06
500.000000	0.0216437 	500.000000	0.0213025 	500.000000	0.0211496 	500.000000	0.02102   	500.000000	0.02115   	500.000000	0.0212978 	500.000000	4.65721e-06
520.000000	0.0212809 	520.000000	0.0209655 	520.000000	0.0208186 	520.000000	0.0206896 	520.000000	0.0208186 	520.000000	0.020961  	520.000000	4.49143e-06
540.000000	0.0209456 	540.000000	0.0206547 	540.000000	0.0205136 	540.000000	0.0203853 	540.000000	0.0205132 	540.000000	0.0206504 	540.000000	4.33744e-06
560.000000	0.020635  	560.000000	0.0203674 	560.000000	0.0202319 	560.000000	0.0201043 	560.000000	0.0202313 	560.000000	0.0203632 	560.000000	4.19402e-06
580.000000	0.0203467 	580.000000	0.0201012 	580.000000	0.019971  	580.000000	0.0198442 	580.000000	0.0199702 	580.000000	0.0200971 	580.000000	4.06009e-06
600.000000	0.0200785 	600.000000	0.019854  	600.000000	0.0197282 	600.000000	0.019603  	600.000000	0.0197282 	600.000000	0.01985   	600.000000	3.93475e-06
620.000000	0.0198286 	620.000000	0.019624  	620.000000	0.0195025 	620.000000	0.0193788 	620.000000	0.0195031 	620.000000	0.0196202 	620.000000	3.81718e-06
640.000000	0.0195954 	640.000000	0.0194098 	640.000000	0.0192932 	640.000000	0.0191701 	640.000000	0.0192936 	640.000000	0.0194061 	640.000000	3.70666e-06
660.000000	0.0193774 	660.000000	0.0192098 	660.000000	0.0190982 	660.000000	0.0189754 	660.000000	0.0190982 	660.000000	0.0192062 	660.000000	3.60259e-06
680.000000	0.0191734 	680.000000	0.0190229 	680.000000	0.0189158 	680.000000	0.0187935 	680.000000	0.0189156 	680.000000	0.0190194 	680.000000	3.50439e-06
700.000000	0.0189822 	700.000000	0.018848  	700.000000	0.0187453 	700.000000	0.0186234 	700.000000	0.0187449 	700.000000	0.0188446 	700.000000	3.41159e-06
720.000000	0.0188028 	720.000000	0.0186841 	720.000000	0.0185857 	720.000000	0.018464  	720.000000	0.0185848 	720.000000	0.0186808 	720.000000	3.32374e-06
